idx,timestamp,qid,plen,cmd
0,5,721,22,pw
1,7,584,84,pw
2,7,1433,24,pw
3,8,787,78,pw
4,11,115,498,pw
5,13,107,7,pw
6,16,18,54,pw
7,23,359,33,pw
8,28,1429,38,pw
9,30,214,28,pw
10,32,40,73,pw
11,32,1237,212,pw
12,32,1161,103,pw
13,33,329,285,pw
14,37,1276,231,pw
15,37,1608,18,pw
16,37,78,55,pw
17,41,390,32,pw
18,44,1446,69,pw
19,45,1480,42,pw
20,46,903,160,pw
21,48,1122,67,pw
22,49,1675,115,pw
23,51,1146,78,pw
24,54,1508,2,pw
25,55,344,606,pw
26,56,130,455,pw
27,57,698,59,pw
28,58,1117,172,pw
29,64,982,185,pw
30,64,1605,84,pw
31,70,1651,8,pw
32,73,1591,170,pw
33,75,1,157,pw
34,79,277,130,pw
35,82,783,14,pw
36,83,1054,178,pw
37,84,363,20,pw
38,87,348,52,pw
39,90,472,41,pw
40,90,459,80,pw
41,92,735,49,pw
42,93,1188,78,pw
43,95,635,38,pw
44,97,1549,257,pw
45,99,1450,204,pw
46,100,1094,151,pw
47,105,652,142,pw
48,106,1215,93,pw
49,110,1499,98,pw
50,111,906,38,pw
51,112,1662,51,pw
52,114,752,22,pw
53,115,1079,118,pw
54,122,1596,76,pw
55,124,632,133,pw
56,126,1365,189,pw
57,126,1095,90,pw
58,127,511,68,pw
59,130,1484,166,pw
60,135,554,48,pw
61,135,1050,37,pw
62,136,197,99,pw
63,136,1659,23,pw
64,137,438,96,pw
65,140,808,45,pw
66,145,1333,5,pw
67,146,368,113,pw
68,146,1597,48,pw
69,149,958,49,pw
70,150,1224,237,pw
71,150,1538,186,pw
72,153,1357,128,pw
73,153,131,30,pw
74,155,68,85,pw
75,159,1062,35,pw
76,164,1145,334,pw
77,167,278,10,pw
78,167,564,180,pw
79,170,267,136,pw
80,171,5,19,pw
81,174,1365,41,pw
82,182,1091,22,pw
83,183,713,160,pw
84,188,340,22,pw
85,197,673,149,pw
86,201,635,22,pw
87,205,1586,15,pw
88,207,83,3,pw
89,209,971,5,pw
90,210,120,34,pw
91,213,71,120,pw
92,217,622,161,pw
93,217,1360,13,pw
94,218,1541,108,pw
95,220,653,145,pw
96,221,386,234,pw
97,222,123,141,pw
98,226,1241,23,pw
99,230,53,129,pw
100,238,552,200,pw
101,241,481,3,pw
102,243,874,80,pw
103,243,57,52,pw
104,244,559,28,pw
105,247,315,215,pw
106,249,1395,53,pw
107,251,519,266,pw
108,253,83,102,pw
109,257,1357,12,pw
110,262,1344,44,pw
111,262,1577,22,pw
112,264,271,285,pw
113,266,1621,411,pw
114,267,1421,132,pw
115,268,1255,171,pw
116,269,838,54,pw
117,269,569,97,pw
118,271,490,2,pw
119,273,1632,28,pw
120,274,1276,431,pw
121,275,634,65,pw
122,276,138,116,pw
123,276,108,40,pw
124,279,627,170,pw
125,281,972,23,pw
126,282,1151,77,pw
127,286,408,28,pw
128,287,1457,13,pw
129,288,979,157,pw
130,288,10,29,pw
131,291,696,239,pw
132,292,61,2,pw
133,294,983,51,pw
134,294,111,39,pw
135,295,1667,71,pw
136,296,809,128,pw
137,297,480,215,pw
138,298,953,9,pw
139,298,1205,104,pw
140,299,1397,59,pw
141,300,1066,68,pw
142,305,391,131,pw
143,311,24,115,pw
144,312,701,31,pw
145,315,1119,129,pw
146,318,179,9,pw
147,322,1411,149,pw
148,323,973,127,pw
149,323,800,112,pw
150,324,1043,64,pw
151,324,588,21,pw
152,325,666,133,pw
153,331,838,30,pw
154,336,1383,37,pw
155,337,230,74,pw
156,337,1269,9,pw
157,342,1666,201,pw
158,343,632,246,pw
159,345,227,73,pw
160,346,957,30,pw
161,347,89,1,pw
162,349,67,43,pw
163,349,18,33,pw
164,351,1030,2,pw
165,354,643,77,pw
166,355,774,31,pw
167,359,297,11,pw
168,360,419,66,pw
169,361,442,240,pw
170,365,1607,8,pw
171,366,950,63,pw
172,366,1077,54,pw
173,371,415,134,pw
174,376,229,7,pw
175,376,140,92,pw
176,377,1550,35,pw
177,383,1121,11,pw
178,383,1006,71,pw
179,385,1650,10,pw
180,386,703,11,pw
181,388,495,313,pw
182,393,594,2,pw
183,397,897,79,pw
184,401,735,48,pw
185,401,230,311,pw
186,404,1372,67,pw
187,406,429,71,pw
188,409,1557,78,pw
189,414,158,20,pw
190,416,64,70,pw
191,417,1253,435,pw
192,419,1329,63,pw
193,421,741,117,pw
194,421,19,128,pw
195,421,342,92,pw
196,422,1481,21,pw
197,422,1092,304,pw
198,423,749,70,pw
199,423,260,17,pw
200,428,1280,107,pw
201,434,64,15,pw
202,435,851,40,pw
203,436,382,143,pw
204,443,1467,109,pw
205,444,1478,59,pw
206,446,690,31,pw
207,449,503,20,pw
208,450,707,319,pw
209,451,1099,221,pw
210,451,742,43,pw
211,455,1603,129,pw
212,456,962,252,pw
213,461,1497,220,pw
214,461,1110,86,pw
215,464,131,7,pw
216,466,1311,86,pw
217,467,1668,70,pw
218,470,1169,337,pw
219,470,720,30,pw
220,472,1677,41,pw
221,476,493,91,pw
222,476,1265,167,pw
223,477,1232,82,pw
224,478,581,235,pw
225,478,1155,431,pw
226,479,1012,146,pw
227,481,370,195,pw
228,484,1250,79,pw
229,484,1167,41,pw
230,484,1157,29,pw
231,485,906,2,pw
232,485,597,6,pw
233,486,1368,59,pw
234,488,1600,13,pw
235,492,1310,162,pw
236,493,415,91,pw
237,496,1546,55,pw
238,505,903,60,pw
239,506,241,83,pw
240,507,1585,23,pw
241,510,608,77,pw
242,513,453,91,pw
243,520,1663,34,pw
244,521,666,254,pw
245,523,112,249,pw
246,526,1157,363,pw
247,527,503,130,pw
248,528,551,292,pw
249,529,885,5,pw
250,537,593,48,pw
251,541,346,208,pw
252,542,753,79,pw
253,542,560,45,pw
254,553,1126,385,pw
255,555,61,64,pw
256,555,1481,18,pw
257,558,1043,2,pw
258,563,631,51,pw
259,563,1322,286,pw
260,566,1481,81,pw
261,568,1609,20,pw
262,573,154,57,pw
263,573,443,86,pw
264,573,1534,23,pw
265,578,737,29,pw
266,579,453,13,pw
267,582,1480,174,pw
268,582,1166,27,pw
269,586,1555,123,pw
270,588,1435,34,pw
271,589,375,125,pw
272,590,816,467,pw
273,591,1027,48,pw
274,593,206,14,pw
275,593,732,175,pw
276,595,926,45,pw
277,599,309,204,pw
278,603,404,168,pw
279,603,1641,117,pw
280,604,796,317,pw
281,606,612,41,pw
282,608,707,117,pw
283,610,230,25,pw
284,612,1008,176,pw
285,614,465,95,pw
286,615,628,12,pw
287,616,951,274,pw
288,617,926,89,pw
289,618,1022,13,pw
290,619,570,4,pw
291,619,644,67,pw
292,622,460,120,pw
293,624,1404,32,pw
294,624,917,9,pw
295,624,893,286,pw
296,626,1210,273,pw
297,626,928,39,pw
298,627,1075,41,pw
299,628,1474,44,pw
300,635,302,96,pw
301,636,58,98,pw
302,637,1061,67,pw
303,639,366,107,pw
304,641,824,333,pw
305,642,450,16,pw
306,644,597,188,pw
307,649,515,52,pw
308,651,1150,87,pw
309,652,554,22,pw
310,654,1512,206,pw
311,655,652,25,pw
312,656,1659,9,pw
313,656,692,53,pw
314,656,373,92,pw
315,657,1564,377,pw
316,658,1082,186,pw
317,660,234,48,pw
318,660,597,407,pw
319,664,942,47,pw
320,672,298,77,pw
321,674,910,180,pw
322,682,1123,55,pw
323,683,1494,76,pw
324,683,355,13,pw
325,684,259,42,pw
326,688,273,44,pw
327,689,1124,195,pw
328,690,381,121,pw
329,692,250,26,pw
330,694,1593,88,pw
331,695,995,33,pw
332,696,265,295,pw
333,699,1350,114,pw
334,706,647,179,pw
335,707,1064,11,pw
336,711,554,56,pw
337,712,9,50,pw
338,714,1175,125,pw
339,714,1207,1,pw
340,717,548,33,pw
341,719,1292,110,pw
342,728,1436,80,pw
343,732,907,30,pw
344,739,1342,82,pw
345,741,1647,61,pw
346,743,1450,137,pw
347,745,1159,75,pw
348,746,1071,32,pw
349,748,1133,61,pw
350,749,1284,249,pw
351,751,1405,39,pw
352,753,941,28,pw
353,754,951,23,pw
354,758,1039,132,pw
355,762,952,119,pw
356,764,648,102,pw
357,764,762,12,pw
358,765,707,162,pw
359,765,511,120,pw
360,766,358,42,pw
361,770,1358,72,pw
362,776,1316,139,pw
363,777,1157,144,pw
364,778,1420,99,pw
365,779,528,62,pw
366,780,1247,59,pw
367,791,851,48,pw
368,792,532,179,pw
369,793,143,97,pw
370,794,1130,127,pw
371,794,532,42,pw
372,794,521,8,pw
373,798,939,24,pw
374,798,486,23,pw
375,798,1183,33,pw
376,798,922,3,pw
377,798,1127,40,pw
378,800,647,292,pw
379,802,646,121,pw
380,803,602,43,pw
381,807,568,37,pw
382,809,297,85,pw
383,815,167,7,pw
384,821,611,51,pw
385,822,278,167,pw
386,826,47,246,pw
387,828,558,1,pw
388,830,549,47,pw
389,831,458,191,pw
390,833,436,45,pw
391,833,451,51,pw
392,834,319,47,pw
393,834,543,264,pw
394,837,830,71,pw
395,840,361,82,pw
396,842,1606,63,pw
397,848,868,105,pw
398,849,670,106,pw
399,853,317,320,pw
400,853,263,143,pw
401,856,1020,63,pw
402,856,849,66,pw
403,860,1180,26,pw
404,868,446,70,pw
405,871,358,287,pw
406,872,1065,55,pw
407,873,381,153,pw
408,876,206,180,pw
409,878,443,14,pw
410,879,279,28,pw
411,881,803,0,pw
412,882,1465,20,pw
413,882,95,80,pw
414,882,202,112,pw
415,883,1234,48,pw
416,888,665,183,pw
417,891,1125,2,pw
418,891,495,135,pw
419,893,267,60,pw
420,896,1062,281,pw
421,898,1251,4,pw
422,900,1540,54,pw
423,900,282,8,pw
424,902,11,32,pw
425,902,1602,24,pw
426,903,648,3,pw
427,908,147,24,pw
428,909,1620,570,pw
429,911,908,68,pw
430,915,877,37,pw
431,915,908,62,pw
432,915,1464,309,pw
433,916,1666,84,pw
434,916,293,14,pw
435,922,1089,32,pw
436,922,952,157,pw
437,922,1388,310,pw
438,923,296,85,pw
439,927,988,57,pw
440,930,4,91,pw
441,931,1619,120,pw
442,933,366,73,pw
443,937,347,122,pw
444,937,219,52,pw
445,940,638,61,pw
446,942,695,2,pw
447,949,399,50,pw
448,953,160,41,pw
449,954,402,87,pw
450,955,1600,7,pw
451,955,277,41,pw
452,958,766,32,pw
453,962,957,55,pw
454,963,198,53,pw
455,965,567,104,pw
456,969,222,108,pw
457,969,1515,38,pw
458,970,1600,175,pw
459,971,539,397,pw
460,972,1383,122,pw
461,978,712,265,pw
462,982,772,14,pw
463,983,222,156,pw
464,983,1095,146,pw
465,984,1044,89,pw
466,987,312,281,pw
467,991,1336,48,pw
468,995,153,3,pw
469,995,1297,145,pw
470,997,379,16,pw
471,997,167,42,pw
472,999,1107,308,pw
473,999,684,161,pw
474,1001,262,184,pw
475,1001,919,30,pw
476,1002,850,594,pw
477,1003,35,108,pw
478,1003,677,69,pw
479,1004,525,59,pw
480,1007,1030,23,pw
481,1007,404,19,pw
482,1009,171,30,pw
483,1012,1540,49,pw
484,1014,99,99,pw
